"","po01","po02","po03","si01","si02","si03","it01","it02","it03","ie01","ac01","ac02","ac03","ac04","ai01","ai02","ai03","ai04","iv01","iv02","iv03","bd01","bd02","bd03","bd04","de01","de02"
"1",5,6,7,6,6,6,7,7,6,5,6,6,6,6,7,7,7,7,6,5,4,"no",20,6,2022-01-25,"man",26
"2",3,4,4,4,6,6,6,6,4,5,5,7,3,6,3,5,6,5,4,6,2,"yes",15,2,2022-08-03,"women",42
"3",5,6,5,4,5,5,6,7,7,7,6,7,5,7,6,5,7,4,7,4,6,"yes",10,1,2023-07-14,"women",38
"4",4,3,6,6,6,6,6,5,6,4,5,4,7,7,6,7,7,6,7,7,4,"yes",18,3,2022-06-06,"women",48
"5",4,5,7,6,5,4,5,6,6,4,7,6,5,7,7,4,4,5,6,4,4,"no",14,4,2022-11-04,"women",51
"6",3,3,5,4,4,6,4,6,6,4,7,5,6,6,3,5,6,5,6,4,5,"no",15,3,2023-07-27,"women",50
"7",7,5,6,7,7,7,6,6,7,3,4,7,6,6,6,6,7,6,5,4,5,"yes",16,4,2023-09-09,"women",18
"8",6,6,3,6,7,6,4,4,6,4,4,3,6,6,7,5,3,7,7,5,6,"no",15,4,2022-05-04,"man",24
"9",5,5,4,5,2,4,7,7,7,7,5,6,5,5,7,6,6,7,6,6,5,"yes",22,4,2022-05-14,"man",43
"10",7,6,7,7,7,6,7,7,7,7,7,7,7,7,6,5,7,5,7,7,6,"yes",27,8,2022-10-31,"women",34
"11",5,6,4,5,3,3,6,4,6,7,5,5,3,7,6,6,7,5,6,5,4,"yes",16,4,2022-07-01,"man",37
"12",3,5,3,7,6,5,5,5,1,4,7,6,7,7,6,5,6,7,4,4,5,"yes",13,3,2022-01-30,"man",41
"13",5,5,3,3,4,4,3,5,5,4,4,3,4,4,7,5,4,5,6,5,5,"yes",15,3,2023-10-09,"women",18
"14",7,6,6,7,4,6,6,6,7,7,7,7,6,6,6,6,6,7,7,7,6,"yes",28,8,2023-06-17,"women",56
"15",7,7,4,3,6,4,7,7,6,3,6,4,5,4,5,5,6,4,3,3,4,"yes",19,4,2023-01-30,"women",34
"16",5,4,7,7,5,6,5,6,6,6,6,7,7,5,4,4,6,6,4,5,6,"yes",18,4,2022-07-08,"women",58
"17",5,6,6,5,5,6,5,3,7,7,3,3,3,6,4,5,5,7,1,2,1,"yes",20,4,2023-01-15,"women",41
"18",3,5,6,7,6,6,6,5,6,7,6,6,5,7,6,5,4,6,6,7,6,"yes",18,2,2022-02-12,"women",26
"19",3,5,5,4,5,4,6,7,6,5,7,5,4,5,6,6,5,6,6,6,6,"yes",15,4,2022-12-21,"man",46
"20",5,7,1,7,5,7,6,5,5,5,5,6,7,6,3,7,7,7,4,5,5,"yes",19,5,2023-02-03,"man",48
"21",6,5,4,5,7,7,3,4,4,7,7,7,5,6,6,5,5,6,4,3,5,"yes",15,4,2023-03-28,"man",36
"22",7,6,6,7,6,6,5,5,5,6,6,7,5,4,7,5,4,6,7,5,5,"yes",19,3,2022-08-25,"man",43
"23",6,7,7,6,7,5,7,7,7,7,7,6,7,7,5,3,5,4,7,7,7,"yes",22,8,2023-03-14,"man",36
"24",6,3,5,6,6,6,5,3,7,3,7,4,4,6,7,4,7,6,7,4,5,"yes",17,5,2023-09-04,"man",39
"25",6,4,7,5,5,7,6,3,4,5,5,6,5,5,4,6,7,7,6,5,6,"yes",15,3,2022-06-20,"women",60
"26",2,6,4,7,4,6,4,5,4,4,5,4,4,4,3,5,4,4,6,5,3,"yes",12,2,2023-05-02,"man",38
"27",4,4,6,5,3,3,6,6,6,5,3,4,4,5,4,2,2,3,6,6,7,"yes",16,3,2022-10-09,"man",37
"28",4,2,3,7,6,7,7,5,6,4,3,5,2,4,3,2,5,3,5,5,5,"yes",9,1,2023-11-10,"women",45
"29",6,5,4,6,6,7,4,6,3,3,7,6,6,5,6,5,5,5,7,6,6,"yes",16,3,2022-01-28,"women",50
"30",5,5,4,5,5,3,7,3,4,5,7,5,5,6,6,6,7,6,6,5,5,"yes",9,3,2023-02-06,"man",41
"31",5,4,6,7,7,7,4,4,5,4,5,3,3,5,6,6,5,5,3,2,5,"no",8,3,2022-09-28,"man",45
"32",7,6,7,7,7,7,7,7,7,6,7,6,6,5,5,5,7,4,7,7,7,"yes",25,5,2022-06-23,"man",46
"33",4,6,6,5,6,5,6,4,5,6,5,4,4,5,5,4,2,5,6,6,5,"yes",20,4,2023-06-23,"women",29
"34",1,6,3,5,3,4,6,7,5,3,5,6,6,7,7,4,6,6,5,3,5,"yes",14,4,2023-11-05,"man",28
"35",5,7,6,4,3,6,4,4,5,7,6,5,5,4,5,4,5,7,7,6,7,"no",19,4,2023-03-14,"women",24
"36",3,6,5,5,4,2,6,7,7,7,7,7,5,7,6,6,7,6,6,6,1,"yes",14,3,2023-06-14,"women",33
"37",3,4,3,3,3,2,6,6,5,5,6,6,5,6,3,6,4,4,5,7,6,"yes",10,3,2022-01-07,"man",60
"38",5,4,5,5,7,6,6,5,7,4,7,6,7,6,5,4,6,3,6,5,4,"no",10,1,2022-07-11,"women",35
"39",5,7,7,5,7,5,6,6,6,6,5,3,6,5,7,7,7,7,6,6,6,"yes",11,2,2022-03-17,"women",47
"40",4,5,4,5,3,5,6,5,5,7,3,3,4,3,5,4,6,4,3,5,4,"yes",18,4,2022-08-30,"women",18
"41",4,6,4,4,6,4,7,7,5,7,6,5,6,5,2,6,2,4,5,4,6,"yes",13,2,2023-08-11,"man",58
"42",3,4,5,3,4,3,6,5,4,5,7,6,7,7,5,6,6,6,6,5,5,"yes",11,1,2023-10-21,"women",28
"43",6,6,5,6,6,7,3,7,5,6,5,5,3,7,5,5,7,6,4,7,3,"no",25,7,2022-09-10,"women",24
"44",4,5,4,4,6,4,2,3,2,5,4,2,4,5,7,5,5,6,6,6,6,"no",9,2,2023-10-02,"man",29
"45",2,6,4,4,6,7,5,3,5,6,5,3,4,6,4,4,3,6,3,5,7,"yes",7,1,2022-07-09,"man",43
"46",7,7,7,7,7,6,7,7,7,7,6,4,5,5,6,7,5,7,6,6,7,"unsure",14,4,2022-05-27,"man",38
"47",7,4,6,5,6,6,5,6,6,5,4,3,4,7,5,2,2,4,6,5,4,"yes",19,4,2023-08-01,"women",36
"48",4,5,3,4,5,6,7,3,7,2,7,6,7,7,6,6,7,7,6,7,7,"yes",18,4,2022-01-03,"women",43
"49",2,2,5,4,5,4,7,7,7,4,6,7,4,5,4,6,6,4,2,3,1,"yes",11,5,2022-11-11,"women",49
"50",4,7,4,5,5,4,7,7,6,4,6,7,7,6,7,7,7,7,7,7,7,"yes",9,2,2023-09-20,"women",61
